Region;Documents;Citable documents;Citations;Self-Citations;Citations per Document;H index
Africa;96;96;1064;166;11.08;58
Asia;95;95;920;62;9.68;46
Africa;94;94;1194;178;12.70;63
Africa;94;90;3070;251;32.66;89
Asia;92;90;1247;160;13.55;80
Africa;85;80;800;87;9.41;75
America;84;83;3714;311;44.21;119
Africa;75;69;2171;210;28.95;85
Europa;70;68;944;79;13.49;92
Europa;66;66;674;90;10.21;40
America;65;65;1118;118;17.20;71
Asia;63;62;398;13;6.32;60
America;61;60;796;30;13.05;58
Africa;60;59;664;83;11.07;55
Africa;60;59;1045;181;17.42;71
America;60;60;1239;91;20.65;46
Africa;60;60;752;128;12.53;62
Africa;59;59;410;32;6.95;41
Oceania;58;58;1685;203;29.05;63
Asia;55;55;73;14;1.33;24
Africa;49;49;806;27;16.45;56
Africa;47;46;679;67;14.45;51
Africa;46;46;402;42;8.74;59
Africa;45;45;982;123;21.82;67
America;44;40;1167;56;26.52;55
Asia;44;43;732;61;16.64;44
Asia;44;44;1534;135;34.86;61
Europa;42;42;917;15;21.83;70
Oceania;42;41;1121;121;26.69;50
Africa;41;41;1023;77;24.95;62
Asia;38;38;436;37;11.47;35
Europa;38;37;1297;196;34.13;64
America;36;35;697;52;19.36;51
America;35;35;520;38;14.86;43
Asia;34;34;306;38;9.00;42
Oceania;33;33;715;26;21.67;48
Oceania;29;28;322;18;11.10;46
America;29;28;283;13;9.76;34
America;28;28;580;34;20.71;48
Africa;27;26;205;30;7.59;33
Europa;26;26;348;25;13.38;86
Europa;25;22;336;65;13.44;49
America;25;25;348;22;13.92;45
Africa;24;24;391;13;16.29;26
Africa;23;22;346;31;15.04;60
Africa;23;23;307;25;13.35;45
America;22;20;1280;183;58.18;62
Asia;22;22;193;26;8.77;48
Africa;22;22;426;18;19.36;43
America;20;20;431;12;21.55;46
Africa;19;19;281;7;14.79;33
Europa;19;19;176;26;9.26;44
Asia;19;19;71;0;3.74;67
Africa;19;18;273;9;14.37;23
America;17;16;129;9;7.59;36
Africa;16;15;208;12;13.00;36
Africa;16;16;193;9;12.06;31
Africa;15;15;84;7;5.60;35
Asia;15;15;133;4;8.87;17
Africa;14;14;296;13;21.14;37
Asia;14;13;246;4;17.57;41
Oceania;13;12;203;16;15.62;27
Africa;12;11;76;3;6.33;23
Asia;11;11;110;38;10.00;49
America;11;11;208;6;18.91;26
America;10;10;222;19;22.20;29
Africa;10;10;669;38;66.90;44
Europa;10;10;433;21;43.30;40
America;9;8;156;8;17.33;28
Europa;8;8;712;13;89.00;40
America;8;8;71;4;8.88;27
Asia;8;8;100;2;12.50;57
Asia;8;8;90;1;11.25;18
Africa;8;8;61;4;7.63;28
America;7;7;222;22;31.71;39
Africa;6;6;49;0;8.17;15
America;6;6;116;9;19.33;39
Africa;5;5;29;1;5.80;28
America;5;5;159;15;31.80;30
Africa;5;5;86;1;17.20;28
Oceania;5;4;183;4;36.60;20
America;5;5;147;3;29.40;14
Europa;5;4;26;0;5.20;19
America;5;5;49;15;9.80;25
Africa;5;5;199;10;39.80;38
Africa;5;4;119;1;23.80;29
Oceania;4;4;115;4;28.75;19
America;4;4;87;0;21.75;16
Africa;4;4;35;0;8.75;13
Oceania;4;4;124;4;31.00;24
Oceania;4;4;5;1;1.25;22
Europa;3;2;2;0;0.67;18
Asia;3;3;21;2;7.00;20
Oceania;3;3;104;1;34.67;10
America;3;3;19;0;6.33;18
Africa;3;3;79;0;26.33;16
Oceania;3;3;85;2;28.33;23
Europa;3;3;50;2;16.67;8
Africa;3;3;10;4;3.33;15
Asia;2;1;3;0;1.50;24
Africa;2;2;37;2;18.50;13
Africa;2;2;15;2;7.50;17
Asia;2;2;0;0;0.00;41
Oceania;2;2;27;6;13.50;14
Europa;2;2;1;0;0.50;23
Asia;2;2;22;0;11.00;13
America;2;2;10;0;5.00;10
Africa;1;1;1;0;1.00;11
America;1;1;9;0;9.00;29
Oceania;1;1;21;1;21.00;6
America;1;1;40;0;40.00;18
America;330988;323671;10636011;5041936;32.13;1518
Asia;90644;89956;1607861;473498;17.74;694
Europa;87552;83564;2393471;545996;27.34;934
Europa;80198;79194;1854662;469564;23.13;815
Europa;58648;57699;1379554;303859;23.52;742
America;41288;40533;1190683;215393;28.84;725
Europa;39562;38730;824025;180447;20.83;654
Asia;32925;32878;251513;101473;7.64;436
Europa;32066;32028;258292;75511;8.06;355
Europa;26208;25541;513302;126083;19.59;531
Oceania;24324;23698;605127;120700;24.88;583
Europa;23032;22617;734065;112499;31.87;636
Asia;21568;21268;224573;78742;10.41;341
Europa;17584;16954;524045;82739;29.80;567
Europa;16154;15906;584211;71981;36.17;629
Asia;12669;12626;169347;33219;13.37;375
Europa;11807;11768;135133;38888;11.45;336
Europa;11604;11386;305419;40443;26.32;502
Asia;11476;11404;168372;35625;14.67;300
America;10700;10622;153707;48287;14.37;342
Asia;10679;10494;287176;38889;26.89;456
Europa;9035;8909;274543;38091;30.39;476
Europa;8133;7992;192382;26229;23.65;416
Europa;8086;7999;239701;36183;29.64;407
Europa;6237;6183;152010;24250;24.37;362
Europa;6106;6104;30556;8860;5.00;159
Asia;6015;5819;67434;19402;11.21;237
Europa;5424;5340;92864;16224;17.12;295
Asia;5347;5245;93893;13338;17.56;325
Europa;5303;5279;66269;16270;12.50;268
America;5110;5059;80069;17173;15.67;261
Oceania;4989;4893;123837;19170;24.82;318
Europa;4718;4640;72443;13490;15.35;277
America;4676;4629;81068;17130;17.34;249
Africa;4569;4427;68596;14680;15.01;260
Asia;3676;3650;58955;7192;16.04;308
Europa;3157;3131;53898;10393;17.07;269
Europa;2841;2758;74765;7166;26.32;299
Asia;2790;2782;28717;6126;10.29;148
Europa;2303;2285;27533;6104;11.96;165
Europa;2251;2245;18792;4269;8.35;153
Europa;2210;2196;23080;3789;10.44;154
Asia;1984;1936;20615;2676;10.39;144
America;1945;1934;35165;5947;18.08;214
Europa;1611;1591;14716;3591;9.13;161
Europa;1546;1535;20669;4138;13.37;172
Europa;1463;1461;8852;1943;6.05;114
Asia;1403;1396;24883;4060;17.74;190
America;1184;1178;15131;2427;12.78;141
Asia;1094;1077;12077;2253;11.04;145
Africa;1055;1044;9897;2463;9.38;103
Asia;1053;1047;11821;4336;11.23;158
Asia;989;973;8635;2382;8.73;130
Africa;917;910;9190;1710;10.02;109
America;893;890;5610;1625;6.28;106
America;651;644;10786;1622;16.57;151
Africa;648;635;17089;2092;26.37;149
Africa;610;602;8127;1257;13.32;97
Europa;588;585;11847;2112;20.15;148
Asia;584;579;6984;998;11.96;92
Asia;550;548;8821;866;16.04;126
Europa;541;539;6114;1302;11.30;122
Asia;527;520;5487;1008;10.41;112
Asia;506;502;5436;760;10.74;92
Europa;488;487;5020;864;10.29;94
Asia;486;486;12939;1242;26.62;131
America;472;469;11016;582;23.34;141
Asia;442;442;1462;281;3.31;58
Asia;388;384;4923;433;12.69;100
Africa;387;387;3689;594;9.53;89
Africa;353;345;4473;489;12.67;81
Europa;334;333;3666;783;10.98;116
America;331;329;7205;891;21.77;114
Asia;331;327;3933;633;11.88;122
Europa;328;322;11888;1090;36.24;181
Asia;288;273;5418;427;18.81;109
Europa;285;283;2670;493;9.37;90
America;277;276;5644;649;20.38;115
Africa;258;254;6738;794;26.12;102
Africa;255;251;3821;726;14.98;82
Europa;233;233;722;166;3.10;50
Europa;218;218;1402;290;6.43;68
Africa;215;207;3410;664;15.86;78
America;214;212;3625;430;16.94;126
Europa;208;205;2122;219;10.20;67
Africa;207;204;2619;296;12.65;82
Asia;207;206;3067;264;14.82;96
Asia;195;194;886;151;4.54;59
Europa;181;181;2929;228;16.18;100
Africa;181;180;3489;499;19.28;83
Africa;179;177;2221;225;12.41;76
Asia;173;168;1700;158;9.83;74
America;162;157;2758;277;17.02;92
Africa;146;142;3559;561;24.38;111
America;135;134;2539;322;18.81;64
Europa;131;130;381;48;2.91;86
Asia;127;124;1610;253;12.68;64
Asia;124;116;1781;206;14.36;80
Africa;116;111;2049;216;17.66;75
Africa;114;113;1272;176;11.16;58
Oceania;109;108;1766;119;16.20;59
Asia;101;101;734;86;7.27;46
Africa;99;97;1437;178;14.52;89
Africa;96;96;1549;178;16.14;63
America;96;91;996;108;10.38;67
Europa;95;92;1780;71;18.74;92
America;94;92;1731;192;18.41;71
Africa;93;90;1532;188;16.47;71
Africa;82;78;1252;248;15.27;55
Asia;82;80;561;71;6.84;43
America;81;81;4078;242;50.35;119
Africa;78;76;1722;183;22.08;51
Africa;70;66;2539;265;36.27;85
Africa;69;68;618;15;8.96;41
Africa;67;65;1389;176;20.73;62
Asia;62;61;403;13;6.50;60
Europa;61;60;1368;72;22.43;70
America;59;57;926;47;15.69;58
Africa;55;55;1648;96;29.96;59
Oceania;55;55;1563;213;28.42;63
Africa;54;53;1538;173;28.48;67
Europa;51;51;346;23;6.78;40
America;49;49;792;121;16.16;46
Asia;48;48;1166;152;24.29;61
Africa;48;47;590;60;12.29;62
Asia;47;46;412;75;8.77;42
Asia;45;45;132;13;2.93;24
Oceania;43;43;991;98;23.05;50
Africa;42;42;547;27;13.02;56
Europa;41;41;582;64;14.20;49
America;40;40;996;57;24.90;55
Asia;40;39;491;14;12.28;44
America;40;40;745;14;18.63;34
America;39;39;686;58;17.59;51
Oceania;38;38;396;29;10.42;46
Africa;37;36;493;58;13.32;60
Asia;36;36;505;64;14.03;48
Africa;36;35;521;39;14.47;33
Oceania;33;33;680;48;20.61;48
Europa;33;32;696;40;21.09;64
Africa;30;29;393;23;13.10;26
Europa;30;30;508;41;16.93;44
America;30;30;422;8;14.07;48
America;29;28;583;23;20.10;45
America;27;27;342;17;12.67;43
Asia;27;27;119;34;4.41;35
Africa;26;26;161;49;6.19;45
Africa;25;25;376;10;15.04;23
Africa;24;23;455;22;18.96;36
Asia;24;24;370;2;15.42;67
America;22;22;232;18;10.55;36
America;21;21;196;13;9.33;28
Africa;21;19;313;17;14.90;43
America;18;18;408;32;22.67;46
America;17;16;292;10;17.18;39
Asia;17;16;291;13;17.12;41
Africa;17;17;230;26;13.53;35
Oceania;16;14;270;22;16.88;27
Africa;14;12;424;80;30.29;44
Asia;13;12;56;13;4.31;57
Africa;12;12;102;5;8.50;28
Africa;12;11;186;10;15.50;28
Africa;11;11;144;4;13.09;33
Asia;11;11;52;5;4.73;17
America;10;10;201;34;20.10;62
Asia;10;10;212;42;21.20;49
Africa;10;10;62;3;6.20;23
America;9;9;128;3;14.22;29
Africa;9;6;35;1;3.89;15
Oceania;9;9;109;3;12.11;22
Africa;8;8;198;5;24.75;37
America;8;8;181;7;22.63;39
Africa;8;7;147;9;18.38;29
America;8;8;88;2;11.00;26
Oceania;7;7;93;5;13.29;19
America;7;6;170;9;24.29;30
Europa;7;7;159;10;22.71;40
Oceania;7;7;172;9;24.57;14
Africa;6;6;49;6;8.17;17
America;6;6;41;1;6.83;27
Africa;6;5;149;3;24.83;31
Africa;6;6;49;0;8.17;13
America;6;6;179;9;29.83;25
Oceania;6;6;51;3;8.50;24
Asia;5;5;140;2;28.00;20
Europa;5;5;256;21;51.20;40
Asia;5;5;24;2;4.80;13
Africa;5;5;45;3;9.00;38
Africa;4;4;27;1;6.75;28
Oceania;4;4;15;0;3.75;17
America;3;3;70;0;23.33;10
America;3;3;25;0;8.33;10
America;3;3;5;0;1.67;16
America;3;3;59;1;19.67;29
America;3;3;91;1;30.33;14
Asia;3;3;48;2;16.00;41
Oceania;3;3;67;0;22.33;23
Europa;2;2;11;0;5.50;18
Africa;2;2;10;2;5.00;11
America;2;2;22;4;11.00;18
America;2;2;28;2;14.00;18
America;2;2;101;2;50.50;23
Europa;2;2;13;0;6.50;19
America;2;2;96;0;48.00;10
America;2;2;98;0;49.00;17
Asia;1;0;0;0;0.00;24
Oceania;1;1;0;0;0.00;3
Oceania;1;1;5;0;5.00;10
Africa;1;1;3;0;3.00;13
Oceania;1;1;3;0;3.00;20
Africa;1;1;98;0;98.00;7
Asia;1;1;0;0;0.00;18
Oceania;1;0;0;0;0.00;2
Oceania;1;1;0;0;0.00;5
America;1;1;10;0;10.00;11
America;325903;315821;11070628;5227618;33.97;1518
Asia;89958;88903;1717200;494609;19.09;694
Europa;88376;83515;2530905;571523;28.64;934
Europa;81188;79626;2008329;499430;24.74;815
Europa;58794;57361;1460813;314681;24.85;742
America;39967;38969;1208001;215453;30.22;725
Europa;38858;37832;920557;196919;23.69;654
Asia;38447;38370;287859;125611;7.49;436
Europa;32693;32619;262331;73420;8.02;355
Europa;26744;25723;557971;132953;20.86;531
Oceania;24999;24170;684915;133073;27.40;583
Europa;23077;22559;756147;115010;32.77;636
Asia;22012;21560;250700;84957;11.39;341
Europa;18125;17344;559272;85844;30.86;567
Europa;16407;16076;591307;72029;36.04;629
Asia;13451;13370;205242;41444;15.26;375
Europa;12446;12146;328448;43800;26.39;502
Europa;12065;11983;153723;40119;12.74;336
Asia;11846;11755;176573;37695;14.91;300
America;11690;11542;187267;56515;16.02;342
Asia;10431;10212;303986;40536;29.14;456
Europa;9134;8986;303024;40001;33.18;476
Europa;8289;8169;252362;38085;30.45;407
Europa;8094;7903;200920;26332;24.82;416
Asia;6539;6254;78504;21405;12.01;237
Europa;6381;6277;174011;26948;27.27;362
Europa;6130;6120;32847;8648;5.36;159
Asia;5656;5536;112782;16264;19.94;325
America;5552;5484;89599;19434;16.14;261
Europa;5542;5423;106841;17792;19.28;295
Europa;5315;5281;72578;16276;13.66;268
Europa;5270;5203;86378;15097;16.39;277
Oceania;5246;5114;136880;19861;26.09;318
America;4669;4612;84980;19079;18.20;249
Africa;4581;4392;77496;14265;16.92;260
Asia;3746;3699;70584;8044;18.84;308
Europa;3405;3341;60411;11107;17.74;269
Europa;3018;2933;78312;7319;25.95;299
Asia;2795;2780;31813;6213;11.38;148
Europa;2448;2427;25021;5537;10.22;165
Europa;2253;2233;21970;4277;9.75;153
Europa;2124;2107;25290;4159;11.91;154
Asia;1925;1870;21067;2578;10.94;144
America;1861;1838;44027;6764;23.66;214
Europa;1761;1732;18870;4120;10.72;161
Asia;1578;1567;26521;4295;16.81;190
Europa;1473;1457;21859;4340;14.84;172
Europa;1388;1384;9258;1905;6.67;114
Asia;1158;1140;17088;5577;14.76;158
Asia;1136;1127;10396;2573;9.15;130
America;1126;1110;18007;2361;15.99;141
America;1105;1086;13627;2430;12.33;106
Asia;1087;1056;14361;2280;13.21;145
Africa;1077;1066;12749;1876;11.84;109
Africa;1032;1019;10044;2254;9.73;103
Asia;653;646;7054;1109;10.80;92
Africa;650;636;8810;1267;13.55;97
Europa;627;623;13755;2166;21.94;148
America;617;608;10870;1508;17.62;151
Africa;597;581;11979;1964;20.07;149
Asia;569;565;6191;870;10.88;92
Europa;548;548;7838;1346;14.30;122
Asia;515;509;5771;988;11.21;112
Asia;512;505;8617;687;16.83;126
America;487;478;11285;765;23.17;141
Asia;461;456;10969;1070;23.79;131
Africa;425;421;4875;753;11.47;89
Europa;420;416;6056;841;14.42;94
Asia;388;387;2103;282;5.42;58
Asia;370;364;4201;448;11.35;100
Europa;362;360;13767;1134;38.03;181
Europa;338;336;3331;590;9.86;116
America;327;319;7472;1028;22.85;114
Africa;317;311;5551;431;17.51;81
Asia;298;296;4759;795;15.97;122
Asia;277;260;4260;332;15.38;109
Europa;270;270;2426;418;8.99;90
America;255;254;4576;720;17.95;115
Africa;251;246;3735;768;14.88;82
Asia;239;235;3496;360;14.63;96
Africa;229;223;4262;697;18.61;102
Asia;226;226;1153;195;5.10;59
Europa;220;219;1495;262;6.80;68
Africa;216;210;2972;489;13.76;83
Africa;213;211;3618;627;16.99;78
Europa;206;206;1010;237;4.90;50
Europa;204;202;4703;500;23.05;100
Asia;202;194;2331;257;11.54;74
Africa;193;191;3004;311;15.56;82
Africa;184;178;2688;310;14.61;76
America;182;178;4621;418;25.39;126
Africa;176;170;3544;626;20.14;111
America;152;151;2716;249;17.87;92
Asia;149;144;2261;255;15.17;80
Europa;148;144;1441;203;9.74;67
America;144;140;2114;220;14.68;64
Africa;144;143;2420;308;16.81;58
America;131;127;2621;162;20.01;67
Asia;126;126;1991;268;15.80;64
Africa;113;113;1590;265;14.07;71
Asia;107;100;545;59;5.09;43
Africa;107;107;1246;252;11.64;63
Oceania;106;105;1410;158;13.30;59
Europa;102;99;1727;143;16.93;92
Africa;102;99;1958;180;19.20;75
America;100;97;2145;249;21.45;71
America;85;85;4960;400;58.35;119
Africa;83;81;773;22;9.31;41
Asia;80;80;474;52;5.93;46
Africa;80;79;2137;281;26.71;89
Africa;76;74;956;172;12.58;55
Africa;76;76;1501;171;19.75;62
Africa;76;75;1164;144;15.32;59
Africa;76;73;1429;191;18.80;62
Asia;71;66;457;32;6.44;60
Africa;69;67;1218;78;17.65;56
Africa;69;65;3654;247;52.96;85
Europa;69;66;73;17;1.06;86
Africa;68;67;1587;191;23.34;67
Africa;68;67;1493;101;21.96;51
Oceania;67;66;2030;268;30.30;63
Europa;63;61;895;80;14.21;70
America;62;59;954;64;15.39;58
Africa;58;58;389;36;6.71;33
Europa;55;53;1552;165;28.22;64
Asia;54;54;904;3;16.74;67
Asia;53;49;694;49;13.09;44
Europa;46;44;547;46;11.89;40
America;46;42;599;27;13.02;46
Asia;45;44;686;39;15.24;42
America;44;44;449;45;10.20;55
Oceania;44;44;856;94;19.45;50
Oceania;43;42;550;24;12.79;46
Asia;43;43;693;74;16.12;61
Asia;40;40;133;43;3.33;35
America;39;38;454;32;11.64;48
Africa;38;38;459;70;12.08;45
Africa;37;37;633;67;17.11;60
Asia;33;33;55;7;1.67;24
Asia;32;32;448;43;14.00;48
Europa;31;31;406;117;13.10;49
Oceania;31;30;949;41;30.61;48
America;31;31;602;39;19.42;45
America;28;28;819;46;29.25;51
America;27;27;1868;127;69.19;62
America;25;22;259;4;10.36;34
Africa;25;25;102;11;4.08;35
America;22;22;433;20;19.68;43
America;22;20;500;39;22.73;46
Africa;22;22;390;18;17.73;43
Africa;19;19;229;29;12.05;28
Asia;19;19;291;38;15.32;41
Africa;18;18;288;8;16.00;36
America;15;15;353;27;23.53;39
Africa;14;14;413;8;29.50;37
America;14;14;586;27;41.86;39
Asia;14;14;151;7;10.79;41
Asia;13;13;316;38;24.31;49
Europa;13;13;393;15;30.23;44
Europa;12;11;464;18;38.67;40
America;12;12;211;4;17.58;28
Asia;12;12;297;14;24.75;57
Africa;12;11;65;9;5.42;28
Oceania;12;12;134;11;11.17;27
America;11;10;187;3;17.00;26
Africa;10;10;203;2;20.30;26
Asia;10;10;195;4;19.50;17
Africa;9;8;212;51;23.56;44
Africa;9;9;208;0;23.11;23
America;9;8;40;4;4.44;36
Africa;9;9;479;42;53.22;38
Africa;8;8;145;2;18.13;28
America;8;8;357;2;44.63;30
America;8;8;204;15;25.50;29
Oceania;8;8;85;9;10.63;20
Africa;8;8;114;3;14.25;31
Oceania;8;8;7;0;0.88;22
America;7;7;82;11;11.71;29
Europa;7;7;187;13;26.71;40
Europa;7;7;614;0;87.71;19
Europa;6;4;40;0;6.67;18
Africa;6;6;64;0;10.67;33
Asia;5;5;21;1;4.20;24
Oceania;5;5;81;7;16.20;19
Africa;5;5;46;2;9.20;15
America;5;5;27;2;5.40;18
America;5;4;50;0;10.00;27
Africa;5;5;86;4;17.20;23
America;5;5;295;36;59.00;23
America;5;5;147;20;29.40;25
Asia;4;4;28;2;7.00;20
America;4;4;58;0;14.50;16
America;4;4;577;1;144.25;14
Asia;4;4;38;4;9.50;18
Oceania;4;4;63;15;15.75;24
Asia;3;3;22;0;7.33;13
Africa;3;3;8;0;2.67;13
Africa;3;3;78;19;26.00;29
Oceania;3;3;11;0;3.67;17
America;2;2;52;1;26.00;18
Africa;2;2;10;0;5.00;16
Oceania;2;2;10;0;5.00;23
America;2;2;2;0;1.00;17
Oceania;1;1;36;0;36.00;4
America;1;1;7;0;7.00;10
Oceania;1;1;4;3;4.00;10
Africa;1;1;12;1;12.00;13
Oceania;1;1;18;0;18.00;3
Europa;1;1;0;0;0.00;16
Africa;1;1;11;6;11.00;17
Oceania;1;1;1;0;1.00;14
Africa;1;1;9;0;9.00;8
Oceania;1;1;25;0;25.00;5
Africa;1;1;14;0;14.00;15
America;1;1;8;0;8.00;10
America;323775;311286;11097623;5239181;34.28;1518
Asia;92680;91394;1784103;509377;19.25;694
Europa;88800;82640;2591459;579292;29.18;934
Europa;81860;79922;2102896;517153;25.69;815
Europa;59618;57791;1474963;315659;24.74;742
America;39793;38540;1226222;221740;30.82;725
Europa;39570;38219;951718;207991;24.05;654
Asia;39061;38989;340078;154953;8.71;436
Europa;31146;31097;266344;75448;8.55;355
Europa;28136;26992;610355;145298;21.69;531
Oceania;25908;24824;683105;135006;26.37;583
Asia;23276;22735;266253;91602;11.44;341
Europa;22499;21788;778779;116730;34.61;636
Europa;18155;17792;573478;86239;31.59;567
Europa;16928;16477;598663;74838;35.37;629
Asia;15720;15609;251092;50820;15.97;375
Europa;12759;12678;159899;43388;12.53;336
America;12728;12552;204005;63976;16.03;342
Europa;12478;12095;347100;46141;27.82;502
Asia;12164;12060;194591;41738;16.00;300
Asia;10544;10270;301218;40905;28.57;456
Europa;8986;8818;304165;41400;33.85;476
Europa;8564;8280;233628;29147;27.28;416
Europa;8318;8207;252526;38817;30.36;407
Asia;7785;7416;93309;26270;11.99;237
Europa;6106;6001;164289;25552;26.91;362
America;6012;5912;97078;21117;16.15;261
Europa;5802;5799;37742;10424;6.50;159
Asia;5734;5572;128918;17572;22.48;325
Europa;5726;5581;101713;18416;17.76;295
Europa;5702;5654;76896;17933;13.49;268
Oceania;5475;5318;130585;20525;23.85;318
America;5046;4981;82113;18742;16.27;249
Europa;4974;4870;83360;14639;16.76;277
Africa;4802;4625;87939;16308;18.31;260
Asia;4559;4499;74676;9630;16.38;308
Europa;3814;3750;86044;15660;22.56;269
Europa;3099;2967;84099;8012;27.14;299
Asia;2748;2728;31164;6528;11.34;148
Europa;2438;2416;30065;5837;12.33;165
Europa;2432;2418;21215;4220;8.72;153
Europa;2160;2139;23813;3903;11.02;154
America;2079;2063;47728;7909;22.96;214
Europa;1819;1796;16681;4260;9.17;161
Europa;1814;1799;25609;5546;14.12;172
Asia;1805;1736;21104;2410;11.69;144
Asia;1737;1702;29562;4848;17.02;190
Asia;1370;1358;19752;7612;14.42;158
America;1286;1253;10508;2258;8.17;106
Europa;1257;1257;10893;1932;8.67;114
Asia;1257;1230;16557;2912;13.17;145
America;1205;1192;16563;2375;13.75;141
Africa;1186;1175;11919;2252;10.05;109
Asia;1169;1142;10374;2467;8.87;130
Africa;1046;1033;10535;2671;10.07;103
America;739;730;11337;1426;15.34;151
Africa;730;713;6451;1622;8.84;97
Asia;679;671;8108;1135;11.94;92
Europa;666;659;13227;2453;19.86;148
Europa;648;646;10335;1595;15.95;122
Africa;619;597;15605;2531;25.21;149
Asia;573;570;6161;910;10.75;92
Asia;558;552;9309;931;16.68;126
Asia;556;548;6470;1255;11.64;112
Asia;482;480;10863;1121;22.54;131
Africa;468;467;4059;786;8.67;89
America;468;458;14367;752;30.70;141
Europa;444;444;5176;840;11.66;94
Asia;403;402;2188;309;5.43;58
Asia;398;373;6250;466;15.70;109
Europa;377;364;11064;1008;29.35;181
Africa;377;367;4810;498;12.76;81
Asia;359;346;4034;377;11.24;100
Europa;356;353;4204;678;11.81;116
Asia;355;350;6557;707;18.47;122
America;327;319;9025;1077;27.60;114
Europa;308;307;3201;448;10.39;90
Africa;261;258;4922;775;18.86;82
Asia;251;246;3933;414;15.67;96
Africa;247;245;4448;753;18.01;102
Africa;229;219;3080;426;13.45;83
Asia;228;214;2246;218;9.85;74
America;222;218;4474;552;20.15;115
Africa;221;217;3437;424;15.55;82
